year,state,black_prop_vap,black,total_vap
2009,SC,0.22645827518838962,811400,3583000
2009,SD,0.00624899855792341,3900,624100
2009,TN,0.12662133360397848,623800,4926500
2009,TX,0.09771679162540671,1726900,17672500
2009,UT,0.005531914893617021,10400,1880000
2009,VT,0.004698672114402451,2300,489500
2009,VA,0.1620757180156658,993200,6128000
2009,WA,0.023644898038681028,121400,5134300
2009,WV,0.028220609185265585,41600,1474100
2009,WI,0.02902034483512161,132800,4576100
2009,WY,0.005860290670417253,2500,426600
2010,AL,0.22410815478439203,830500,3705800
2010,AK,0.025049701789264415,12600,503000
2010,AZ,0.034488428495087764,167800,4865400
2010,AR,0.13083527097120373,292600,2236400
2010,CA,0.05304110821982935,1461500,27554100
2010,CO,0.03163485822896868,121500,3840700
2010,CT,0.07519468457526612,210500,2799400
2010,DE,0.15595923792645103,105600,677100
2010,FL,0.1276713996480038,1929600,15113800
2010,GA,0.26190672833388395,1902700,7264800
2010,HI,0.011959263757824908,12800,1070300
2010,ID,0.003853399554718274,4500,1167800
2010,IL,0.10351400375073017,1010100,9758100
2010,IN,0.0650585666071074,327700,5037000
2010,IA,0.014235323759133283,33900,2381400
2010,KS,0.03782309150598789,81800,2162700
2010,KY,0.06457781700500147,219500,3399000
2010,LA,0.2608226999941735,895300,3432600
2010,ME,0.006884023329190171,7200,1045900
2010,MD,0.23904800142755175,1071700,4483200
2010,MA,0.05056330987810974,263000,5201400
2010,MI,0.08779632395921283,675900,7698500
2010,MN,0.021905247070809986,90300,4122300
2010,MS,0.3348385942949119,748900,2236600
2010,MO,0.08094592303780301,382000,4719200
2010,MT,0.002599090318388564,2000,769500
